Country,Measure,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total_arrivals_sum
Latvia,Total arrivals,Thousands,1882.00,2061.00,2297.00,2524.00,3127.00,3791.00,4649.00,5209.00,5496.00,4727.00,5042.00,5538.00,5569.00,5822.00,6246.00,6842.00,6797.00,7726.00,7775.00,8342.00,3204.00,104666.00
Lebanon,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lesotho,Total arrivals,Thousands,302.00,295.00,287.00,329.00,304.00,304.00,357.00,300.00,293.00,344.00,426.00,398.00,423.00,433.00,1079.00,1082.00,1196.00,1137.00,1173.00,1142.00,0.00,11604.00
Liberia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Libya,Total arrivals,Thousands,963.00,953.00,858.00,958.00,0.00,0.00,125.00,106.00,760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4723.00
Liechtenstein,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lithuania,Total arrivals,Thousands,4092.00,4195.00,3999.00,3635.00,0.00,0.00,0.00,4251.00,4459.00,4001.00,4073.00,4504.00,4979.00,5264.00,5217.00,5048.00,5322.00,5590.00,6115.00,6150.00,2284.00,83178.00
Luxembourg,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madagascar,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,282.00,333.00,285.00,360.00,486.00,87.10,1833.10
Malawi,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malaysia,Total arrivals,Thousands,17213.00,22995.00,20756.00,16293.00,24432.00,24209.00,25298.00,28325.00,25321.00,31509.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35046.00,6102.00,277499.00
Maldives,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Malta,Total arrivals,Thousands,1387.00,1439.00,1483.00,1512.00,1428.00,1484.00,1521.00,1723.00,1832.00,1608.00,1815.00,1916.00,2007.00,2013.00,2162.00,2383.00,2592.00,2944.00,3232.00,3519.00,718.00,40718.00
Mauritania,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mauritius,Total arrivals,Thousands,678.00,675.00,709.00,721.00,739.00,782.00,807.00,933.00,970.00,890.00,956.00,983.00,984.00,1015.00,1065.00,1174.00,1307.00,1371.00,1431.00,1418.00,316.00,19924.00
Mexico,Total arrivals,Thousands,105673.00,100718.00,100153.00,92330.00,99250.00,103146.00,97701.00,93582.00,92948.00,88044.00,81953.00,75732.00,76749.00,78100.00,81042.00,87129.00,94853.00,99349.00,96497.00,97406.00,51128.00,1893483.00
Moldova,Total arrivals,Thousands,19.00,15.70,20.20,23.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.50
Monaco,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mongolia,Total arrivals,Thousands,158.00,192.00,235.00,205.00,305.00,345.00,408.00,455.00,469.00,465.00,557.00,627.00,624.00,515.00,506.00,467.00,471.00,543.00,598.00,637.00,66.90,8848.90
Montenegro,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Morocco,Total arrivals,Thousands,4458.00,4596.00,4709.00,5021.00,5732.00,6077.00,6777.00,7701.00,8209.00,8661.00,9752.00,9784.00,9830.00,10349.00,10507.00,10542.00,10677.00,11540.00,12489.00,13109.00,2802.00,173322.00
Mozambique,Total arrivals,Thousands,0.00,404.00,943.00,726.00,711.00,954.00,1095.00,1259.00,1439.00,1711.00,1836.00,2013.00,2206.00,1970.00,1751.00,1634.00,1715.00,1514.00,2870.00,2033.00,959.00,29743.00
Myanmar,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Namibia,Total arrivals,Thousands,759.00,700.00,799.00,739.00,986.00,856.00,961.00,1048.00,1079.00,1100.00,1114.00,1163.00,1245.00,1327.00,1429.00,1488.00,1551.00,1581.00,1639.00,1651.00,187.10,23402.10
Nepal,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Netherlands,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
New Zealand,Total arrivals,Thousands,1787.00,1909.00,2045.00,2104.00,2334.00,2366.00,2409.00,2455.00,2483.00,2473.00,2530.00,2617.00,2574.00,2710.00,2854.00,3129.00,3494.00,3723.00,3858.00,3888.00,996.00,54738.00
Nicaragua,Total arrivals,Thousands,581.00,584.00,579.00,646.00,735.00,804.00,891.00,978.00,1011.00,1010.00,1071.00,1122.00,1233.00,1273.00,1390.00,1456.00,1596.00,1958.00,1412.00,1455.00,474.00,22259.00
Niger,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nigeria,Total arrivals,Thousands,1492.00,1753.00,2046.00,2253.00,2646.00,2778.00,3056.00,5239.00,5820.00,6053.00,6113.00,3765.00,4673.00,4038.00,4803.00,6017.00,5265.00,0.00,0.00,0.00,0.00,67810.00
North Macedonia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Norway,Total arrivals,Thousands,5121.00,5115.00,4543.00,4686.00,5130.00,5418.00,5738.00,6017.00,6054.00,6114.00,6578.00,6693.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67207.00
Oman,Total arrivals,Thousands,0.00,1095.00,1112.00,1210.00,1407.00,1101.00,1385.00,1360.00,1540.00,1584.00,1500.00,1393.00,1714.00,1923.00,2225.00,2634.00,3207.00,3178.00,3242.00,3506.00,869.00,37185.00
Pakistan,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Panama,Total arrivals,Thousands,600.00,737.00,800.00,897.00,1004.00,1070.00,1215.00,1428.00,1575.00,1562.00,1726.00,2004.00,2086.00,2202.00,2305.00,2553.00,2379.00,2517.00,2487.00,2494.00,647.00,34288.00
Papua New Guinea,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,126.00,146.00,165.00,175.00,182.00,191.00,199.00,198.00,182.00,195.00,211.00,39.00,2129.00
Paraguay,Total arrivals,Thousands,3924.00,3550.00,3194.00,2859.00,2589.00,2648.00,2830.00,3005.00,3118.00,3183.00,3171.00,3365.00,3655.00,3538.00,3455.00,4102.00,4318.00,4744.00,4183.00,4368.00,1077.00,70876.00
Peru,Total arrivals,Thousands,0.00,0.00,0.00,0.00,1650.00,1938.00,2227.00,2451.00,2581.00,2681.00,2948.00,3299.00,3642.00,4010.00,4062.00,4381.00,4718.00,4992.00,5384.00,5275.00,1119.00,57358.00
Philippines,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Poland,Total arrivals,Thousands,84515.00,61431.00,50735.00,52130.00,61918.00,64606.00,65115.00,66208.00,59935.00,53840.00,58340.00,60745.00,67390.00,72310.00,73750.00,77743.00,80476.00,83804.00,85946.00,88515.00,51076.00,1420528.00
Portugal,Total arrivals,Thousands,28014.00,28150.00,27194.00,27532.00,21165.00,21173.00,22588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,175816.00
Puerto Rico,Total arrivals,Thousands,4566.00,4908.00,4364.00,4402.00,4889.00,5073.00,5022.00,5062.00,5213.00,4415.00,4379.00,4214.00,4197.00,4210.00,4456.00,5051.00,5003.00,4927.00,4260.00,4931.00,3882.00,97424.00
Qatar,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1482.00,1700.00,2057.00,2324.00,2612.00,2839.00,2941.00,2938.00,2256.00,1819.00,2136.50,582.00,25686.50
Romania,Total arrivals,Thousands,5264.00,4938.00,4794.00,5595.00,6600.00,5839.00,6037.00,7722.00,8862.00,7575.00,7498.00,7611.00,7937.00,8019.00,8442.00,9331.00,10223.00,10926.00,11720.00,12815.00,5023.00,162771.00
Russia,Total arrivals,Thousands,21169.00,21595.00,23309.00,22521.00,22064.00,22201.00,22486.00,22909.00,23676.00,21339.00,22281.00,24932.00,28177.00,30792.00,32421.00,33729.00,24571.00,24390.00,24551.00,24419.00,6359.00,499891.00
Rwanda,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,531.00,610.00,669.00,664.00,667.00,908.00,1061.00,1122.00,1220.00,1298.00,1377.00,1570.00,1711.00,1634.00,0.00,15042.00
Saint Kitts And Nevis,Total arrivals,Thousands,247.00,334.00,240.00,247.00,383.00,365.00,350.00,379.00,533.00,548.00,624.00,723.00,666.00,695.00,818.00,1036.00,1055.00,1194.00,1278.00,1107.00,301.40,13123.40
Saint Lucia,Total arrivals,Thousands,727.00,747.00,648.00,683.00,791.00,720.00,670.00,905.00,925.00,982.00,984.00,950.00,889.00,921.00,987.00,1031.00,948.00,1064.00,1165.00,1220.00,432.50,18389.50
Saint Vincent And The Grenadines,Total arrivals,Thousands,256.00,254.00,247.00,242.00,262.00,256.00,306.00,328.00,250.00,271.00,231.00,208.00,200.00,200.00,205.00,207.00,227.00,303.00,356.00,404.00,155.00,5368.00
San Marino,Total arrivals,Thousands,3071.00,3036.00,3102.00,2882.00,2812.00,2107.00,2136.00,2164.00,2112.00,2056.00,1976.00,2038.00,1869.00,1905.00,2004.00,1888.00,2000.00,1937.00,1874.00,1904.00,1015.00,45888.00
Sao Tome And Principe,Total arrivals,Thousands,0.00,7.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.70
Saudi Arabia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,11083.00,10417.00,10962.00,13479.00,17717.00,13319.00,13025.00,15776.00,19847.00,19934.00,23010.00,21834.00,20887.00,18607.00,17570.00,20292.00,4882.00,272641.00
Senegal,Total arrivals,Thousands,0.00,0.00,0.00,502.00,677.00,779.00,876.00,879.00,877.00,815.00,906.00,977.00,967.00,1069.00,976.00,1014.00,1219.00,1376.00,0.00,0.00,0.00,13909.00
Serbia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Seychelles,Total arrivals,Thousands,140.00,138.00,135.00,127.00,126.00,135.00,151.00,171.00,173.00,178.00,191.00,210.00,216.00,237.00,239.00,296.00,333.00,382.00,405.00,428.00,124.50,4535.50
Sierra Leone,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.00,95.00,53.00,31.00,60.00,59.00,66.00,71.00,26.00,536.00
Singapore,Total arrivals,Thousands,7691.00,7522.00,7567.00,6127.00,8329.00,8943.00,9751.00,10285.00,10116.00,9683.00,11642.00,13171.00,14496.00,15568.00,15095.00,15231.50,16403.00,17425.00,18508.00,19116.00,2742.00,245411.50
Slovakia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12583.00,11556.00,14936.00,17376.00,15406.00,15299.00,16086.00,0.00,103242.00
Slovenia,Total arrivals,Thousands,63580.00,61878.00,60031.00,59388.00,63013.00,60230.00,58274.00,61293.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,487687.00
Solomon Islands,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Somalia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
South Africa,Total arrivals,Thousands,6001.00,5908.00,6550.00,6640.00,6815.00,7518.00,8509.00,9208.00,9729.00,9532.00,11303.00,12097.00,13069.00,14318.00,14530.00,13952.00,15121.00,14975.00,15004.00,14797.00,3886.60,219462.60
South Sudan,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spain,Total arrivals,Thousands,74580.00,75564.00,79313.00,82326.00,85981.00,92563.00,96152.00,98907.00,97670.00,91899.00,93744.00,99187.00,98128.00,103231.00,107144.00,109834.00,115561.00,121717.00,124456.00,126170.00,36410.00,2010537.00
Sri Lanka,Total arrivals,Thousands,445.00,397.00,457.00,583.00,681.00,669.00,689.00,592.00,526.00,538.00,766.00,976.00,1133.00,1415.00,1665.00,1993.00,2168.00,2248.00,2521.00,2027.00,540.00,23029.00
Palestine,Total arrivals,Thousands,1055.00,0.00,0.00,0.00,0.00,0.00,0.00,928.00,1487.00,1740.00,2821.00,2730.00,3051.00,2874.00,2907.00,2054.00,2231.00,2766.00,3050.00,3810.00,0.00,33504.00
Sudan,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Suriname,Total arrivals,Thousands,72.00,68.00,0.00,100.00,0.00,0.00,154.00,167.00,151.00,151.00,206.00,221.00,240.00,250.00,253.00,229.00,257.00,279.00,0.00,0.00,0.00,2798.00
Sweden,Total arrivals,Thousands,0.00,7432.00,7457.00,7627.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19405.00,20011.00,18803.00,19945.00,0.00,0.00,0.00,0.00,0.00,0.00,100680.00
Switzerland,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Syria,Total arrivals,Thousands,3412.00,3671.00,4678.00,4837.00,6334.00,5859.00,5682.00,5434.00,6951.00,7721.00,10970.00,6476.00,0.00,0.00,0.00,0.00,1043.00,1291.00,1802.00,2424.00,479.00,79064.00
Taiwan,Total arrivals,Thousands,2624.00,2831.00,2978.00,2248.00,2950.00,3378.00,3520.00,3716.00,3845.00,4395.00,5567.00,6087.00,7311.00,8016.00,9910.00,10440.00,10690.00,10740.00,11067.00,11864.00,1378.00,125555.00
Tajikistan,Total arrivals,Thousands,7.70,5.20,0.00,0.00,0.00,0.00,0.00,0.00,325.00,207.00,160.00,183.00,244.00,208.00,213.00,414.00,344.00,431.00,1035.00,1257.00,351.00,5384.90
Tanzania,Total arrivals,Thousands,501.00,525.00,575.00,576.00,583.00,613.00,644.00,719.00,770.00,714.00,783.00,868.00,1077.00,1096.00,1140.00,1137.00,1284.00,1327.00,1506.00,1527.00,621.00,18586.00
Thailand,Total arrivals,Thousands,10096.00,10751.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20847.00
Timor-Leste,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Togo,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trinidad And Tobago,Total arrivals,Thousands,503.00,468.00,451.00,474.00,501.00,529.00,534.00,531.00,482.00,534.00,490.00,491.00,504.00,467.00,455.00,519.00,492.00,465.00,501.00,480.00,141.00,10012.00
Tunisia,Total arrivals,Thousands,5244.00,5663.00,5322.00,5492.00,6419.00,6975.00,7176.00,7512.00,7750.00,8507.00,8640.00,6038.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80738.00
Turkey,Total arrivals,Thousands,10428.00,11619.00,13256.00,14030.00,17517.00,21125.00,19820.00,27215.00,31138.00,31760.00,32997.00,36769.00,37715.00,39861.00,41627.00,41114.00,30907.00,37970.00,46113.00,51747.00,15971.00,610699.00
Turkmenistan,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Uganda,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ukraine,Total arrivals,Thousands,11691.00,11877.00,12793.00,15161.00,18583.00,20489.00,21714.00,26162.00,28827.00,24033.00,24114.00,24535.00,25061.00,26025.00,13227.00,13025.00,13734.00,14579.00,14342.00,13710.00,3382.00,377064.00
United Arab Emirates,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19313.00,20894.00,21805.00,23092.00,25282.00,8084.00,118470.00
United Kingdom,Total arrivals,Thousands,25209.00,22835.00,24180.00,24715.00,27755.00,29970.00,32713.00,32778.00,31888.00,31072.00,30398.00,31886.00,32221.00,33567.00,35337.00,36792.00,39129.00,41080.00,40283.00,40857.00,11101.00,655766.00
United States Of America,Total arrivals,Thousands,78343.00,70975.00,64434.00,62082.00,67606.00,71484.00,183178.00,175299.00,175703.00,160508.00,162275.00,147271.42,171629.90,179309.91,178311.35,176864.53,175261.49,174291.75,169324.92,165478.00,45037.00,2854667.25
Uruguay,Total arrivals,Thousands,2236.00,2136.00,1354.00,1508.00,1871.00,1917.00,1824.00,1815.00,2255.00,2303.00,2708.00,3244.00,3155.00,3242.00,3195.00,3286.00,3632.00,4219.00,3954.00,3480.00,0.00,53334.00
Uzbekistan,Total arrivals,Thousands,302.00,345.00,332.00,231.00,262.00,242.00,560.00,903.00,1069.00,1215.00,975.00,1393.00,1895.00,1969.00,1862.00,1918.00,2027.00,2690.00,5346.00,6749.00,1504.00,33789.00
Vanuatu,Total arrivals,Thousands,106.00,106.00,99.00,102.00,99.00,126.00,154.00,167.00,196.60,225.50,237.70,248.90,321.00,357.00,329.00,287.00,351.60,332.70,350.20,256.00,82.40,4534.60
Venezuela,Total arrivals,Thousands,602.00,792.00,590.00,435.00,618.00,846.00,883.00,898.00,702.00,567.00,535.00,625.00,1061.00,1085.00,967.00,882.00,681.00,429.00,0.00,0.00,0.00,13198.00
Vietnam,Total arrivals,Thousands,2140.00,2330.00,2628.00,2429.00,2928.00,3477.00,3583.00,4229.00,4236.00,3747.00,5050.00,6014.00,6848.00,7572.00,7874.00,7944.00,10013.00,12922.00,15498.00,18009.00,3687.00,133158.00
Yemen,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1035.00,1175.00,1282.00,1323.00,1218.00,398.00,0.00,0.00,0.00,0.00,0.00,6431.00
Zambia,Total arrivals,Thousands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Zimbabwe,Total arrivals,Thousands,1967.00,2217.00,2041.00,2256.00,1854.00,1559.00,2287.00,2506.00,1956.00,2017.00,2239.00,2423.00,1794.00,1833.00,1880.00,2057.00,2168.00,2423.00,2580.00,2294.00,639.00,0.00